"Cell","Ridge","X","Y"
"Curved_test",55,29.18925,20.2693
"Curved_test",55,29.298,20.34185
"Curved_test",55,29.44305,20.41435
"Curved_test",56,25.3457,20.2693
"Curved_test",56,25.56325,20.34185
"Curved_test",57,31.14725,21.79225
"Curved_test",57,31.25605,21.7197
"Curved_test",57,31.36485,21.79225
"Curved_test",57,31.4011,21.8285
"Curved_test",57,31.43735,21.64715
"Curved_test",57,31.437425,21.647225
"Curved_test",57,31.5824,21.86475
"Curved_test",57,31.8725,21.93725
"Curved_test",57,32.09005,22.19105
"Curved_test",57,32.09005,21.8285
"Curved_test",57,32.16255,21.42965
"Curved_test",57,32.23505,21.06705
"Curved_test",57,32.41635,20.9945
"Curved_test",57,32.6702,20.92195
"Curved_test",57,32.88775,20.84945
"Curved_test",57,33.10535,20.970294
"Curved_test",57,33.13424,20.95103
"Curved_test",57,33.17785,21.1758
"Curved_test",57,33.0328,20.77695
"Curved_test",57,33.17785,20.70445
"Curved_test",57,33.25035,20.52315
"Curved_test",58,23.5327,20.48685
"Curved_test",58,23.46015,20.55935
"Curved_test",58,23.3514,20.6319
"Curved_test",58,23.24265,20.70445
"Curved_test",58,23.13385,20.6319
"Curved_test",59,22.58995,20.7407
"Curved_test",59,22.66245,20.95825
"Curved_test",60,28.75415,23.2789
"Curved_test",60,28.82665,23.1701
"Curved_test",60,28.89915,23.09755
"Curved_test",60,28.97165,23.02505
"Curved_test",60,29.0442,22.88
"Curved_test",60,29.11675,22.73495
"Curved_test",60,29.18925,22.66245
"Curved_test",60,29.26175,22.5537
"Curved_test",60,29.33425,22.4449
"Curved_test",60,29.4068,22.37235
"Curved_test",60,29.47935,22.29985
"Curved_test",60,29.55185,22.1911
"Curved_test",60,29.62435,22.04605
"Curved_test",60,29.69685,21.901
"Curved_test",60,29.7694,21.79225
"Curved_test",60,29.84195,21.7197
"Curved_test",60,29.91445,21.64715
"Curved_test",60,29.98695,21.57465
"Curved_test",60,30.05945,21.4296
"Curved_test",60,30.132,21.28455
"Curved_test",60,30.20455,21.1758
"Curved_test",60,30.27705,21.06705
"Curved_test",60,30.34955,20.8132
"Curved_test",60,30.5671,20.9945
"Curved_test",61,33.43165,22.37235
"Curved_test",61,33.54045,22.29985
"Curved_test",61,33.61295,22.22735
"Curved_test",61,33.68545,22.15485
"Curved_test",61,33.758,22.0823
"Curved_test",61,33.83055,22.00975
"Curved_test",61,33.90305,21.93725
"Curved_test",61,33.97555,21.86475
"Curved_test",61,34.04805,21.79225
"Curved_test",61,34.1206,21.7197
"Curved_test",61,34.19315,21.64715
"Curved_test",61,34.26565,21.57465
"Curved_test",61,34.33815,21.50215
"Curved_test",61,34.41065,21.39335
"Curved_test",61,34.5557,21.28455
"Curved_test",61,34.70075,21.21205
"Curved_test",61,34.33815,20.95825
"Curved_test",62,24.0766,21.13955
"Curved_test",62,24.18535,21.06705
"Curved_test",62,24.29415,20.9945
"Curved_test",62,24.40295,20.92195
"Curved_test",62,24.47545,20.9945
"Curved_test",62,24.54795,21.06705
"Curved_test",62,24.6205,21.32085
